,long,lat
UK,0.09,51.3
Slovenia,14.3,46.3
Slovakia,17.09,48.1
Romania,26.09,44.26
Malta,7.1,35.54
Luxembourg,6.1,49.5
Lithuania,25.1,54.4
Latvia,24,56.5
Ireland,-6,53
Hungary,19,47.3
Estonia,24.5,59.2
Czech Republic ,14.2,50
Cyprus,21.4,35.1
Croatia,15.5,45.5
Bulgaria,18.4,42.4
Danmark,12.3,55.4
Finland,24.5,60.1
Poland,21,52.1
Belgium,4.2,50.5
Sweden,18,59.1
Netherlands,4.5,52.2
Austria,16.2,48.1
Germany,13.3,52.3
France,2.2,48.5
Greece,23.4,37.6
Portugal,-9.1,38.4
Italy,12.3,41.5
Spain,-3.4,40.3
